"year","price","mileage","distance","engine","color","id","startRecord","endRecord"
2011,24991,42740,353,"2.0T","Black",135,1423,1432
2013,24988,39368,39,"2.0T","Scuba Blue Metallic",136,1433,1442
2012,24981,48158,32,"2.0T","Moonlight Blue Pearl",137,1443,1452
2012,24980,34000,23,"2.0T","Monsoon Gray Metallic",138,1453,1462
2012,24980,42000,23,"2.0T","Ibis White",139,1463,1472
2011,24792,59096,353,"2.0T","Black",140,1473,1482
2013,24595,30270,353,"2.0T","Blue",141,1483,1492
2011,24500,33861,24,"2.0T",NA,142,1493,1502
2012,24500,64524,24,"2.0T","Brilliant Red",143,1503,1512
2012,24300,35793,24,"2.0T","Brilliant Black",144,1513,1521
2012,24188,29491,15,"2.0T","Ice Silver Metallic",145,1522,1531
2012,24023,48854,470,"2.0T","Silver",146,1532,1541
2010,24000,64842,18,"2.0T","Brilliant Black",147,1542,1551
2013,23995,33195,353,"2.0T","Red",148,1552,1561
2013,23995,36620,353,"2.0T","Red",149,1562,1571
2013,23995,41327,4,"2.0T","White",150,1572,1581
2011,23991,54180,83,"2.0T","Gray",151,1582,1591
2012,23980,25000,23,"2.0T","Brilliant Black",152,1592,1601
2012,23893,47295,353,"2.0T","Glacier White Metallic",153,1602,1613
2011,23889,42421,83,"2.0T","Brilliant Black",154,1614,1623
2010,23850,73744,3,"2.0T","Blue",155,1624,1633
2010,23000,47010,3,"2.0T","Deep Sea Blue Pearl",156,1634,1643
2014,22999,2796,355,"2.0T","Brown",157,1644,1653
2012,22996,42915,29,"2.0T","Moonlight Blue Metallic",158,1654,1665
2010,22996,54912,29,"2.0T","Brilliant Black",159,1666,1677
2010,22995,46086,18,"2.0T","Black",160,1678,1687
2011,22990,30007,302,"2.0T","Blue",161,1688,1697
2011,22988,41599,83,"2.0T",NA,162,1698,1707
2010,22987,38270,22,"2.0T","Brilliant Black",163,1708,1717
2012,22880,56000,23,"2.0T","Ibis White",164,1718,1727
2009,22580,50000,23,"2.0T","Ice Silver Metallic",165,1728,1737
2012,22487,56569,3,"2.0T","Monsoon Gray Metallic",166,1738,1746
2012,22320,34038,341,"2.0T","Monsoon Gray Metallic",167,1747,1756
2010,21996,70573,29,"2.0T","Quartz Gray Metallic",168,1757,1766
2010,21995,30194,18,"2.0T","Black",169,1767,1776
2010,21992,45370,28,"2.0T","Aruba Blue Pearl Effect",170,1777,1786
2012,21988,45881,18,"2.0T","Ice Silver Metallic",171,1787,1796
2011,21953,72755,460,"2.0T","Ice Silver Metallic",172,1797,1806
2011,21900,61706,353,"2.0T","Deep Sea Blue Pearl",173,1807,1816
2011,21875,56260,116,"2.0T","Ice Silver Metallic",174,1817,1826
2011,21500,47456,491,"2.0T","Meteor Gray Pearl",175,1827,1836
2010,21487,70570,3,"2.0T","Quartz Gray Metallic",176,1837,1846
2010,21420,75549,29,"2.0T","Silver",177,1847,1856
2010,21339,55323,116,"2.0T","Brilliant Black",178,1857,1866
2011,21042,49661,353,"2.0T","Silver",179,1867,1876
2011,20995,33997,353,"2.0T","Brilliant Black",180,1877,1886
2010,20995,64325,116,"2.0T","Blue",181,1887,1896
2012,20993,29299,353,"2.0T","Ice Silver",182,1897,1906
2012,20993,34425,353,"2.0T","Brilliant Black",183,1907,1916
2010,20988,50439,15,"2.0T",NA,184,1917,1926
2011,20980,74000,23,"2.0T","Ice Silver Metallic",185,1927,1936
2010,20900,67574,3,"2.0T","Gray",186,1937,1946
2011,20492,45003,29,"2.0T","Blue",187,1947,1955
2009,19999,66304,77,"2.0T","Gray",188,1956,1965
2010,19999,95730,3,"2.0T","Black",189,1966,1975
2010,19996,70430,29,"2.0T","Dakar Beige Metallic",190,1976,1985
2011,19995,77069,116,"2.0T","Quartz Gray Metallic",191,1986,1995
2011,19993,32879,353,"2.0T","Deep Sea Blue Pearl",192,1996,2005
2010,19993,37000,353,"2.0T","Brilliant Black",193,2006,2015
2010,19991,70220,4,"2.0T","Aruba Blue Pearl Effect",194,2016,2025
2012,19991,91198,461,"2.0T","Ibis White",195,2026,2035
2011,19990,66272,28,"2.0T","Black",196,2036,2045
2011,19988,90392,25,"2.0T","White",197,2046,2055
2010,19978,60270,32,"2.0T","Brilliant Black",198,2056,2065
2010,19975,54107,492,"2.0T","Deep Sea Blue Pearl",199,2066,2075
2010,19750,24836,301,"2.0T","Deep Sea Blue Pearl",200,2076,2084
2009,18999,57142,77,"2.0T","Black",201,2085,2094
2010,18998,40120,356,"2.0T","Brilliant Black",202,2095,2104
2009,18995,58729,424,"2.0T","White",203,2105,2114
2010,18995,71232,116,"2.0T","Meteor Gray Pearl",204,2115,2124
2010,18977,61337,344,"2.0T","White",205,2125,2134
2009,18975,57886,25,"2.0T","White",206,2135,2144
2010,18950,62438,353,"2.0T","White",207,2145,2154
2009,18949,61184,173,"2.0T","Phantom Black Pearl",208,2155,2164
2009,18750,73672,27,"2.0T","Black",209,2165,2174
2009,18490,54932,32,"2.0T","Quartz Gray",210,2175,2184
2009,18000,50582,3,"2.0T","Ibis White",211,2185,2194
2009,18000,71416,3,"2.0T","Brilliant Black",212,2195,2204
2010,17995,68000,490,"2.0T","Silver",213,2205,2214
2011,17990,64711,29,"2.0T","Silver",214,2215,2224
2008,17980,40000,23,"SE","Quartz Gray Metallic",215,2225,2234
2008,17975,55660,28,"2.0T","Deep Sea Blue Pearl",216,2235,2244
2009,17835,64428,28,"2.0T","Ice Silver Metallic",217,2245,2253
2009,17835,64428,27,"2.0T","Ice Silver Metallic",218,2254,2263
2009,17496,81963,29,"2.0T","Gray",219,2264,2273
2009,17488,99509,484,"2.0T","Ice Silver Metallic",220,2274,2283
2009,17400,76488,341,"2.0T","Brilliant Black",221,2284,2293
2010,17000,57803,352,"2.0T","Gray",222,2294,2303
2009,16995,97437,344,"2.0T","Blue",223,2304,2313
2008,16975,79026,28,"2.0T","Brilliant Black",224,2314,2323
2009,16970,80577,358,"2.0T","Silver",225,2324,2333
2008,16900,80670,23,"2.0T","Black",226,2334,2343
2006,16880,58000,23,"2.0T","Brilliant Black",227,2344,2353
2009,16783,81433,358,"2.0T","Silver",228,2354,2363
2009,16499,100390,16,"2.0T","Black",229,2364,2373
2008,16475,69260,28,"2.0T","Silver",230,2374,2383
2010,15995,96759,353,"2.0T","Gray",231,2384,2393
2008,15990,77927,29,"2.0T","Silver",232,2394,2403
