Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num,,,,
20157,ANTH,4630,001,,,"MCCABE, J TERRENCE",38,20,100%,4.9,1.1,5.1,1.0,4-6,3.4,4.6,5.4,5.0,5.1,6.0,NOMAD PEOPLES/E. AFRICA,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,4710,801,,,"JONES, CARLA",8,7,100%,4.9,1.1,5.7,0.5,10-12,6.0,5.1,6.0,5.6,5.4,5.9,DEPT HONORS IN ANTHROPOL,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,5780,001,OL,,"ROLAND, L KAIFA",13,9,89%,4.5,1.2,4.6,1.3,10-12,4.1,4.0,5.1,4.9,4.6,5.9,CORE CRSE/CULT ANTHROPOL,,,,,,,BD,AS,SS,GR,ANTH,TTT,1,,,,
20157,ANTH,5795,001,,,"JOYCE, ARTHUR",17,17,100%,4.1,1.0,4.5,1.4,10-12,4.0,4.1,5.4,4.1,4.5,5.6,PROSEMINAR IN ANTHROPOLO,,,,,,,BD,AS,SS,GR,ANTH,TTT,1,,,,
20157,ANTH,7000,002,,,"JACKA, JERRY",12,11,100%,5.5,0.9,5.4,1.2,13-15,5.1,5.2,5.6,5.4,5.5,5.6,SEM-CUR RSCH TPC CLT ANT,,,,,,,BD,AS,SS,GR,ANTH,TTT,1,,,,
20157,ANTH,7030,002,OL,,"BAMFORTH, DOUGLAS",10,8,100%,5.6,0.5,5.9,0.4,10-12,5.3,5.6,5.8,5.4,5.4,6.0,SEM-ARCHAEOLOGY,,,,,,,BD,AS,SS,GR,ANTH,TTT,1,,,,
20157,ANTH,7600,001,,,"MCCABE, J TERRENCE",14,13,100%,5.5,0.5,5.9,0.3,7-9,4.6,5.8,5.7,5.2,5.7,6.0,HUM ECOL:CULTUR ASPECTS,,,,,,,BD,AS,SS,GR,ANTH,TTT,1,,,,
20157,APPM,1350,150,OL,,"CURRY, JAMES",106,61,100%,4.0,1.2,3.0,1.5,10-12,4.3,3.3,4.3,5.2,4.4,5.0,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TTT,1,,,,
20157,APPM,1360,549R,OL,,"GROOMS, IAN",25,17,94%,4.0,1.5,3.3,1.6,7-9,4.5,3.4,4.7,4.9,4.6,5.7,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TTT,1,,,,
20157,APPM,2360,110,OL,,"HOEFER, MARK",51,28,100%,5.1,1.1,5.6,0.9,7-9,4.8,5.6,5.4,5.3,5.3,6.0,INTRO DIFF EQ W/LIN ALG,,,,,,,BD,AS,NS,LD,APPM,TTT,1,,,,
