"Player","Season","Games_Missed_Frequency_Career"
"Dorian Finney-Smith","2019-20",0.247967479674797
"Dorian Finney-Smith","2020-21",0.199376947040498
"Dorian Finney-Smith","2021-22",0.193384223918575
"Dorian Finney-Smith","2022-23",0.164210526315789
"Doug McDermott","2021-22",0.118491921005386
"Dragan Bender","2017-18",0.390243902439024
"Draymond Green","2013-14",0.024390243902439
"Draymond Green","2014-15",0.0121951219512195
"Draymond Green","2015-16",0.0203252032520325
"Draymond Green","2016-17",0.0182926829268293
"Draymond Green","2017-18",0.0268292682926829
"Draymond Green","2018-19",0.0467479674796748
"Draymond Green","2019-20",0.0662020905923345
"Draymond Green","2020-21",0.0938967136150235
"Draymond Green","2021-22",0.0914205344585091
"Draymond Green","2022-23",0.127364438839849
"Drew Eubanks","2022-23",0.0528052805280528
"Duncan Robinson","2019-20",0
"Duncan Robinson","2020-21",0
"Dwayne Bacon","2020-21",0.0436681222707424
"Dwight Howard","2014-15",0.041044776119403
"Dwight Howard","2015-16",0.082392776523702
"Dwight Howard","2016-17",0.0847107438016529
"Dwight Howard","2017-18",0.0847619047619048
"Dwight Powell","2017-18",0.0743801652892562
"Dwight Powell","2018-19",0.0617283950617284
"Dwight Powell","2019-20",0.0566502463054187
"Dwight Powell","2021-22",0.115732368896926
"Dwight Powell","2022-23",0.100787401574803
"Dwyane Wade","2013-14",0.139064475347661
"Dwyane Wade","2014-15",0.15807560137457
"Dwyane Wade","2015-16",0.164397905759162
"Dwyane Wade","2016-17",0.15718418514947
"E'Twaun Moore","2017-18",0.0777310924369748
"E'Twaun Moore","2018-19",0.0663082437275986
"Elfrid Payton","2014-15",NA
"Elfrid Payton","2015-16",0
"Elfrid Payton","2016-17",0.0548780487804878
"Elfrid Payton","2018-19",0.0769230769230769
"Elfrid Payton","2020-21",0.175475687103594
"Emeka Okafor","2017-18",0.153074027603513
"Emmanuel Mudiay","2015-16",NA
"Emmanuel Mudiay","2018-19",0.14344262295082
"Enes Kanter","2017-18",0
"Eric Bledsoe","2014-15",0.163461538461538
"Eric Bledsoe","2018-19",0.198127925117005
"Eric Bledsoe","2019-20",0.178423236514523
"Eric Bledsoe","2020-21",0.175879396984925
"Eric Gordon","2013-14",0.294416243654822
"Eric Gordon","2014-15",0.279411764705882
"Eric Gordon","2015-16",0.275985663082437
"Eric Gordon","2017-18",0.272853185595568
"Eric Gordon","2018-19",0.259950248756219
"Eric Gordon","2021-22",0.284466019417476
"Eric Gordon","2022-23",0.285071942446043
"Eric Paschall","2019-20",NA
"Ersan Ilyasova","2013-14",0.0888324873096447
"Ersan Ilyasova","2014-15",0.126050420168067
"Evan Fournier","2015-16",0.0934959349593496
"Evan Fournier","2016-17",0.0792682926829268
"Evan Fournier","2017-18",0.0953545232273839
"Evan Fournier","2018-19",0.128309572301426
"Evan Fournier","2019-20",0.111692844677138
"Evan Fournier","2021-22",0.135097493036212
