"Season","Team","Position","Player","Age","MPG","G"
"2018-19","Cleveland Cavaliers","SG","Brandon Knight",27,18.9,39
"2016-17","Minnesota Timberwolves","SG","Brandon Rush",31,21.9,47
"2013-14","New Orleans Pelicans","PG","Brian Roberts",28,23.2,72
"2014-15","Brooklyn Nets","C","Brook Lopez",26,29.2,72
"2015-16","Brooklyn Nets","C","Brook Lopez",27,33.7,73
"2018-19","Milwaukee Bucks","C","Brook Lopez",30,28.7,81
"2019-20","Milwaukee Bucks","C","Brook Lopez",31,26.7,68
"2020-21","Milwaukee Bucks","C","Brook Lopez",32,27.2,70
"2021-22","Milwaukee Bucks","C","Brook Lopez",33,22.9,13
"2022-23","Milwaukee Bucks","C","Brook Lopez",34,30.4,78
"2018-19","Detroit Pistons","SF","Bruce Brown",22,19.6,74
"2019-20","Detroit Pistons","PG","Bruce Brown",23,28.2,58
"2021-22","Brooklyn Nets","SF","Bruce Brown",25,24.6,72
"2018-19","Memphis Grizzlies","C","Bruno Caboclo",23,23.5,34
"2018-19","San Antonio Spurs","PG","Bryn Forbes",25,28,82
"2019-20","San Antonio Spurs","SG","Bryn Forbes",26,25.1,63
"2016-17","Sacramento Kings","SF","Buddy Hield",24,23,82
"2018-19","Sacramento Kings","SG","Buddy Hield",26,31.9,82
"2019-20","Sacramento Kings","SG","Buddy Hield",27,30.8,72
"2020-21","Sacramento Kings","SG","Buddy Hield",28,34.3,71
"2021-22","Indiana Pacers","SG","Buddy Hield",29,30.9,81
"2022-23","Indiana Pacers","SF","Buddy Hield",30,31,80
"2015-16","Portland Trail Blazers","SG","CJ McCollum",24,34.8,80
"2016-17","Portland Trail Blazers","SG","CJ McCollum",25,35,80
"2017-18","Portland Trail Blazers","SG","CJ McCollum",26,36.1,81
"2018-19","Portland Trail Blazers","SG","CJ McCollum",27,33.9,70
"2019-20","Portland Trail Blazers","SG","CJ McCollum",28,36.5,70
"2020-21","Portland Trail Blazers","SG","CJ McCollum",29,34,47
"2021-22","New Orleans Pelicans","PG","CJ McCollum",30,34.6,62
"2022-23","New Orleans Pelicans","PG","CJ McCollum",31,35.3,75
"2013-14","Cleveland Cavaliers","SF","CJ Miles",26,19.3,51
"2014-15","Indiana Pacers","SG","CJ Miles",27,26.3,70
"2017-18","Los Angeles Clippers","SF","C.J. Williams",27,18.6,38
"2021-22","Detroit Pistons","SG","Cade Cunningham",20,32.6,64
"2022-23","Brooklyn Nets","PF","Cameron Johnson",26,28.5,42
"2016-17","Brooklyn Nets","SF","Caris LeVert",22,21.7,57
