"Season","Team","Position","Player","Age","MPG","G"
"2020-21","Minnesota Timberwolves","C","Karl-Anthony Towns",25,33.8,50
"2021-22","Minnesota Timberwolves","C","Karl-Anthony Towns",26,33.5,74
"2022-23","Minnesota Timberwolves","PF","Karl-Anthony Towns",27,33,29
"2013-14","San Antonio Spurs","SF","Kawhi Leonard",22,29.1,66
"2014-15","San Antonio Spurs","SF","Kawhi Leonard",23,31.8,64
"2015-16","San Antonio Spurs","SF","Kawhi Leonard",24,33.1,72
"2018-19","Toronto Raptors","SF","Kawhi Leonard",27,34,60
"2019-20","Los Angeles Clippers","SF","Kawhi Leonard",28,32.4,57
"2020-21","Los Angeles Clippers","PF","Kawhi Leonard",29,34.1,52
"2022-23","Sacramento Kings","PF","Keegan Murray",22,29.8,80
"2022-23","San Antonio Spurs","C","Keita Bates-Diop",27,21.7,67
"2020-21","San Antonio Spurs","SF","Keldon Johnson",21,28.5,69
"2021-22","San Antonio Spurs","SG","Keldon Johnson",22,31.9,75
"2022-23","San Antonio Spurs","SF","Keldon Johnson",23,32.7,63
"2018-19","Miami Heat","PF","Kelly Olynyk",27,22.9,79
"2020-21","Houston Rockets","PF","Kelly Olynyk",29,28.5,70
"2022-23","Utah Jazz","PF","Kelly Olynyk",31,28.6,68
"2022-23","Charlotte Hornets","SF","Kelly Oubre Jr.",27,32.3,48
"2020-21","Golden State Warriors","SF","Kelly Oubre Jr.",25,30.7,55
"2013-14","Charlotte Hornets","PG","Kemba Walker",23,35.8,73
"2014-15","Charlotte Hornets","PG","Kemba Walker",24,34.2,62
"2015-16","Charlotte Hornets","PG","Kemba Walker",25,35.6,81
"2016-17","Charlotte Hornets","PG","Kemba Walker",26,34.7,79
"2017-18","Charlotte Hornets","PG","Kemba Walker",27,34.2,80
"2018-19","Charlotte Hornets","PG","Kemba Walker",28,34.9,82
"2019-20","Boston Celtics","PG","Kemba Walker",29,31.1,56
"2020-21","Boston Celtics","PG","Kemba Walker",30,31.8,43
"2013-14","Los Angeles Lakers","PG","Kendall Marshall",22,29,54
"2019-20","Miami Heat","PG","Kendrick Nunn",24,29.3,67
"2020-21","Miami Heat","PG","Kendrick Nunn",25,29.5,56
"2013-14","Oklahoma City Thunder","C","Kendrick Perkins",29,19.5,62
"2013-14","Denver Nuggets","PF","Kenneth Faried",24,27.2,80
"2014-15","Denver Nuggets","PF","Kenneth Faried",25,27.8,75
"2015-16","Denver Nuggets","PF","Kenneth Faried",26,25.3,67
"2015-16","Atlanta Hawks","SF","Kent Bazemore",26,27.8,75
"2017-18","Atlanta Hawks","SG","Kent Bazemore",28,27.5,65
"2013-14","Detroit Pistons","SG","Kentavious Caldwell-Pope",20,19.8,80
"2014-15","Detroit Pistons","SG","Kentavious Caldwell-Pope",21,31.5,82
"2015-16","Detroit Pistons","SG","Kentavious Caldwell-Pope",22,36.7,76
"2016-17","Detroit Pistons","SG","Kentavious Caldwell-Pope",23,33.3,76
"2019-20","Los Angeles Lakers","SF","Kentavious Caldwell-Pope",26,25.5,69
"2020-21","Los Angeles Lakers","SG","Kentavious Caldwell-Pope",27,28.4,67
"2021-22","Washington Wizards","SG","Kentavious Caldwell-Pope",28,30.2,77
"2022-23","Denver Nuggets","SG","Kentavious Caldwell-Pope",29,31.3,76
"2022-23","Houston Rockets","SF","KJ Martin",22,28,82
"2013-14","Oklahoma City Thunder","SF","Kevin Durant",25,38.5,81
"2014-15","Oklahoma City Thunder","SF","Kevin Durant",26,33.8,27
"2015-16","Oklahoma City Thunder","SF","Kevin Durant",27,35.8,72
"2016-17","Golden State Warriors","SF","Kevin Durant",28,33.4,62
"2018-19","Golden State Warriors","SF","Kevin Durant",30,34.6,78
"2021-22","Brooklyn Nets","PF","Kevin Durant",33,37.2,55
"2022-23","Phoenix Suns","PF","Kevin Durant",34,35.6,47
"2013-14","Brooklyn Nets","C","Kevin Garnett",37,20.5,54
"2018-19","Atlanta Hawks","SG","Kevin Huerter",20,27.3,75
"2019-20","Atlanta Hawks","SG","Kevin Huerter",21,31.4,56
"2020-21","Atlanta Hawks","SF","Kevin Huerter",22,30.8,69
"2021-22","Atlanta Hawks","SG","Kevin Huerter",23,29.6,74
"2022-23","Sacramento Kings","SG","Kevin Huerter",24,29.4,75
"2018-19","New York Knicks","PF","Kevin Knox II",19,28.8,75
"2013-14","Minnesota Timberwolves","PF","Kevin Love",25,36.3,77
"2015-16","Cleveland Cavaliers","PF","Kevin Love",27,31.5,77
"2016-17","Cleveland Cavaliers","PF","Kevin Love",28,31.4,60
"2017-18","Cleveland Cavaliers","C","Kevin Love",29,28,59
"2019-20","Cleveland Cavaliers","PF","Kevin Love",31,31.8,56
"2022-23","Miami Heat","PF","Kevin Love",34,20,62
"2013-14","Minnesota Timberwolves","SG","Kevin Martin",30,32,68
"2014-15","Minnesota Timberwolves","SG","Kevin Martin",31,33.4,39
"2020-21","Houston Rockets","PG","Kevin Porter Jr.",20,32.1,26
"2021-22","Houston Rockets","PG","Kevin Porter Jr.",21,31.3,61
"2022-23","Houston Rockets","PG","Kevin Porter Jr.",22,34.3,59
"2020-21","Golden State Warriors","C","Kevon Looney",24,19,61
"2021-22","Toronto Raptors","C","Khem Birch",29,18,55
"2013-14","Milwaukee Bucks","SF","Khris Middleton",22,30,82
"2014-15","Milwaukee Bucks","SG","Khris Middleton",23,30.1,79
"2015-16","Milwaukee Bucks","SG","Khris Middleton",24,36.1,79
"2016-17","Milwaukee Bucks","SF","Khris Middleton",25,30.7,29
"2017-18","Milwaukee Bucks","SF","Khris Middleton",26,36.4,82
"2018-19","Milwaukee Bucks","SF","Khris Middleton",27,31.1,77
"2019-20","Milwaukee Bucks","SF","Khris Middleton",28,29.9,62
"2020-21","Milwaukee Bucks","SF","Khris Middleton",29,33.4,68
"2022-23","Milwaukee Bucks","SF","Khris Middleton",31,24.3,33
"2021-22","Detroit Pistons","PG","Killian Hayes",20,25,66
"2022-23","Detroit Pistons","PG","Killian Hayes",21,28.3,76
"2013-14","Chicago Bulls","PG","Kirk Hinrich",33,29,73
"2013-14","Golden State Warriors","SG","Klay Thompson",23,35.4,81
"2014-15","Golden State Warriors","SG","Klay Thompson",24,31.9,77
"2015-16","Golden State Warriors","SG","Klay Thompson",25,33.3,80
"2016-17","Golden State Warriors","SG","Klay Thompson",26,34,78
"2017-18","Golden State Warriors","SF","Klay Thompson",27,34.3,73
"2018-19","Golden State Warriors","SG","Klay Thompson",28,34,78
"2021-22","Golden State Warriors","SG","Klay Thompson",31,29.4,32
"2022-23","Golden State Warriors","SF","Klay Thompson",32,33,69
"2014-15","Los Angeles Lakers","SF","Kobe Bryant",36,34.5,35
"2015-16","Los Angeles Lakers","SF","Kobe Bryant",37,28.2,66
"2017-18","Chicago Bulls","PG","Kris Dunn",23,29.3,52
"2018-19","Chicago Bulls","PG","Kris Dunn",24,30.2,46
"2019-20","Chicago Bulls","SF","Kris Dunn",25,24.9,51
"2015-16","New York Knicks","PF","Kristaps Porziņģis",20,28.4,72
"2017-18","New York Knicks","PF","Kristaps Porziņģis",22,32.4,48
"2019-20","Dallas Mavericks","C","Kristaps Porziņģis",24,31.8,57
"2020-21","Dallas Mavericks","C","Kristaps Porziņģis",25,30.9,43
"2021-22","Washington Wizards","PF","Kristaps Porziņģis",26,29,51
"2018-19","Memphis Grizzlies","SF","Kyle Anderson",25,29.8,43
"2019-20","Memphis Grizzlies","PF","Kyle Anderson",26,19.9,67
"2020-21","Memphis Grizzlies","PF","Kyle Anderson",27,27.3,69
"2013-14","Atlanta Hawks","SG","Kyle Korver",32,33.9,71
"2014-15","Atlanta Hawks","SG","Kyle Korver",33,32.2,75
"2015-16","Atlanta Hawks","SG","Kyle Korver",34,30,80
"2017-18","Cleveland Cavaliers","SG","Kyle Korver",36,21.6,73
"2017-18","Los Angeles Lakers","C","Kyle Kuzma",22,31.2,77
"2018-19","Los Angeles Lakers","PF","Kyle Kuzma",23,33.1,70
"2021-22","Washington Wizards","SF","Kyle Kuzma",26,33.4,66
"2022-23","Washington Wizards","PF","Kyle Kuzma",27,35,64
"2013-14","Toronto Raptors","PG","Kyle Lowry",27,36.2,79
"2014-15","Toronto Raptors","PG","Kyle Lowry",28,34.5,70
"2015-16","Toronto Raptors","PG","Kyle Lowry",29,37,77
"2016-17","Toronto Raptors","PG","Kyle Lowry",30,37.4,60
"2017-18","Toronto Raptors","PG","Kyle Lowry",31,32.2,78
"2018-19","Toronto Raptors","PG","Kyle Lowry",32,34,65
"2019-20","Toronto Raptors","SG","Kyle Lowry",33,36.2,58
"2020-21","Toronto Raptors","PG","Kyle Lowry",34,34.8,46
"2021-22","Miami Heat","PG","Kyle Lowry",35,33.9,63
"2013-14","Cleveland Cavaliers","PG","Kyrie Irving",21,35.2,71
"2014-15","Cleveland Cavaliers","PG","Kyrie Irving",22,36.4,75
"2015-16","Cleveland Cavaliers","PG","Kyrie Irving",23,31.5,53
"2016-17","Cleveland Cavaliers","PG","Kyrie Irving",24,35.1,72
"2017-18","Boston Celtics","PG","Kyrie Irving",25,32.2,60
"2018-19","Boston Celtics","PG","Kyrie Irving",26,33,67
"2020-21","Brooklyn Nets","PG","Kyrie Irving",28,34.9,54
"2021-22","Brooklyn Nets","PG","Kyrie Irving",29,37.6,29
"2022-23","Dallas Mavericks","SG","Kyrie Irving",30,37.4,60
"2013-14","Portland Trail Blazers","PF","LaMarcus Aldridge",28,36.2,69
"2014-15","Portland Trail Blazers","PF","LaMarcus Aldridge",29,35.4,71
"2015-16","San Antonio Spurs","C","LaMarcus Aldridge",30,30.6,74
"2016-17","San Antonio Spurs","PF","LaMarcus Aldridge",31,32.4,72
"2017-18","San Antonio Spurs","PF","LaMarcus Aldridge",32,33.5,75
"2018-19","San Antonio Spurs","C","LaMarcus Aldridge",33,33.2,81
"2019-20","San Antonio Spurs","PF","LaMarcus Aldridge",34,33.1,53
"2021-22","Charlotte Hornets","PG","LaMelo Ball",20,32.3,75
"2022-23","Charlotte Hornets","PG","LaMelo Ball",21,35.2,36
"2013-14","Indiana Pacers","SG","Lance Stephenson",23,35.3,78
"2017-18","New York Knicks","SF","Lance Thomas",29,18.5,73
"2018-19","Los Angeles Clippers","SF","Landry Shamet",21,22.8,79
"2014-15","New York Knicks","SG","Langston Galloway",23,32.4,45
"2016-17","Sacramento Kings","SG","Langston Galloway",25,20.2,74
"2016-17","Los Angeles Lakers","C","Larry Nance Jr.",24,22.9,63
"2018-19","Cleveland Cavaliers","C","Larry Nance Jr.",26,26.8,67
"2020-21","Cleveland Cavaliers","PF","Larry Nance Jr.",28,31.2,35
"2013-14","Milwaukee Bucks","C","Larry Sanders",25,25.4,23
"2017-18","Chicago Bulls","PF","Lauri Markkanen",20,29.7,68
"2018-19","Chicago Bulls","SF","Lauri Markkanen",21,32.3,52
"2019-20","Chicago Bulls","PF","Lauri Markkanen",22,29.8,50
"2021-22","Cleveland Cavaliers","SF","Lauri Markkanen",24,30.8,61
"2022-23","Utah Jazz","SF","Lauri Markkanen",25,34.4,66
"2013-14","Miami Heat","SF","LeBron James",29,37.7,77
"2014-15","Cleveland Cavaliers","SF","LeBron James",30,36.1,69
"2015-16","Cleveland Cavaliers","SF","LeBron James",31,35.6,76
"2016-17","Cleveland Cavaliers","SF","LeBron James",32,37.8,74
"2018-19","Los Angeles Lakers","SF","LeBron James",34,35.2,55
"2019-20","Los Angeles Lakers","PG","LeBron James",35,34.6,67
"2020-21","Los Angeles Lakers","SF","LeBron James",36,33.4,45
"2021-22","Los Angeles Lakers","PF","LeBron James",37,37.2,56
"2022-23","Los Angeles Lakers","PF","LeBron James",38,35.5,55
"2020-21","San Antonio Spurs","SG","Lonnie Walker IV",22,25.4,60
"2017-18","Los Angeles Lakers","SG","Lonzo Ball",20,34.2,52
"2018-19","Los Angeles Lakers","PG","Lonzo Ball",21,30.3,47
"2019-20","New Orleans Pelicans","PG","Lonzo Ball",22,32.1,63
"2020-21","New Orleans Pelicans","PG","Lonzo Ball",23,31.8,55
"2017-18","Los Angeles Clippers","SG","Lou Williams",31,32.8,79
"2014-15","Philadelphia 76ers","SF","Luc Mbah a Moute",28,28.6,67
"2015-16","Los Angeles Clippers","SF","Luc Mbah a Moute",29,17,75
"2016-17","Los Angeles Clippers","SF","Luc Mbah a Moute",30,22.3,80
"2020-21","Oklahoma City Thunder","SF","Luguentz Dort",21,29.7,52
"2021-22","Oklahoma City Thunder","SG","Luguentz Dort",22,32.6,51
"2022-23","Oklahoma City Thunder","SF","Luguentz Dort",23,30.7,74
"2018-19","Dallas Mavericks","PG","Luka Dončić",19,32.2,72
"2019-20","Dallas Mavericks","PG","Luka Dončić",20,33.6,61
"2020-21","Dallas Mavericks","PG","Luka Dončić",21,34.3,66
"2021-22","Dallas Mavericks","PG","Luka Dončić",22,35.4,65
"2022-23","Dallas Mavericks","PG","Luka Dončić",23,36.2,66
"2019-20","Detroit Pistons","SG","Luke Kennard",23,32.9,28
"2014-15","Miami Heat","SF","Luol Deng",29,33.6,72
"2015-16","Miami Heat","PF","Luol Deng",30,32.4,74
"2016-17","Milwaukee Bucks","PG","Malcolm Brogdon",24,26.4,75
"2017-18","Milwaukee Bucks","PG","Malcolm Brogdon",25,29.9,48
"2018-19","Milwaukee Bucks","SG","Malcolm Brogdon",26,28.6,64
"2019-20","Indiana Pacers","PG","Malcolm Brogdon",27,30.9,54
"2020-21","Indiana Pacers","PG","Malcolm Brogdon",28,34.5,56
"2021-22","Indiana Pacers","PG","Malcolm Brogdon",29,33.5,36
"2019-20","Minnesota Timberwolves","SG","Malik Beasley",23,22,55
"2020-21","Minnesota Timberwolves","SG","Malik Beasley",24,32.8,37
"2021-22","Los Angeles Lakers","SF","Malik Monk",23,28.1,76
"2013-14","Memphis Grizzlies","C","Marc Gasol",29,33.4,59
"2014-15","Memphis Grizzlies","C","Marc Gasol",30,33.2,81
"2016-17","Memphis Grizzlies","C","Marc Gasol",32,34.2,74
"2017-18","Memphis Grizzlies","C","Marc Gasol",33,33,73
"2019-20","Toronto Raptors","C","Marc Gasol",35,26.4,44
"2020-21","Los Angeles Lakers","C","Marc Gasol",36,19.1,52
"2013-14","Washington Wizards","C","Marcin Gortat",29,32.8,81
"2014-15","Washington Wizards","C","Marcin Gortat",30,29.9,82
"2015-16","Washington Wizards","C","Marcin Gortat",31,30.1,75
"2016-17","Washington Wizards","C","Marcin Gortat",32,31.2,82
"2017-18","Washington Wizards","C","Marcin Gortat",33,25.3,82
"2014-15","Phoenix Suns","SF","Marcus Morris Sr.",25,25.2,81
"2015-16","Detroit Pistons","SF","Marcus Morris Sr.",26,35.7,80
"2016-17","Detroit Pistons","SF","Marcus Morris Sr.",27,32.5,79
"2017-18","Boston Celtics","C","Marcus Morris Sr.",28,26.7,54
"2018-19","Boston Celtics","PF","Marcus Morris Sr.",29,27.9,75
"2019-20","Los Angeles Clippers","PF","Marcus Morris Sr.",30,31.2,62
"2021-22","Los Angeles Clippers","PF","Marcus Morris Sr.",32,29,54
"2014-15","Boston Celtics","PG","Marcus Smart",20,27,67
"2016-17","Boston Celtics","PG","Marcus Smart",22,30.4,79
"2018-19","Boston Celtics","SG","Marcus Smart",24,27.5,80
"2020-21","Boston Celtics","SG","Marcus Smart",26,32.9,48
"2021-22","Boston Celtics","PG","Marcus Smart",27,32.3,71
"2013-14","Miami Heat","PG","Mario Chalmers",27,29.8,73
"2014-15","Miami Heat","PG","Mario Chalmers",28,29.6,80
"2018-19","New York Knicks","SF","Mario Hezonja",23,20.8,58
"2019-20","Orlando Magic","PG","Markelle Fultz",21,27.7,72
"2022-23","Orlando Magic","PG","Markelle Fultz",24,29.6,60
"2014-15","Phoenix Suns","PF","Markieff Morris",25,31.5,82
"2016-17","Washington Wizards","PF","Markieff Morris",27,31.2,76
"2016-17","Phoenix Suns","PF","Marquese Chriss",19,21.3,82
"2017-18","Phoenix Suns","SF","Marquese Chriss",20,21.2,72
"2019-20","Golden State Warriors","C","Marquese Chriss",22,20.3,59
"2016-17","Los Angeles Clippers","PF","Marreese Speights",29,15.7,82
"2020-21","Sacramento Kings","PF","Marvin Bagley III",21,25.9,43
"2013-14","Utah Jazz","PF","Marvin Williams",27,25.4,66
"2015-16","Charlotte Hornets","SF","Marvin Williams",29,28.9,81
"2016-17","Charlotte Hornets","PF","Marvin Williams",30,30.2,76
"2017-18","Charlotte Hornets","PF","Marvin Williams",31,25.7,78
"2018-19","Charlotte Hornets","PF","Marvin Williams",32,28.4,75
"2015-16","Portland Trail Blazers","C","Mason Plumlee",25,25.4,82
"2017-18","Denver Nuggets","C","Mason Plumlee",27,19.4,74
"2020-21","Detroit Pistons","C","Mason Plumlee",30,26.8,56
"2021-22","Charlotte Hornets","C","Mason Plumlee",31,24.6,73
"2013-14","Los Angeles Clippers","SF","Matt Barnes",33,27.5,63
"2014-15","Los Angeles Clippers","SF","Matt Barnes",34,29.9,76
"2015-16","Memphis Grizzlies","PF","Matt Barnes",35,28.8,76
"2013-14","Orlando Magic","PF","Maurice Harkless",20,24.4,80
"2016-17","Portland Trail Blazers","PF","Maurice Harkless",23,28.9,77
"2017-18","Portland Trail Blazers","PF","Maurice Harkless",24,21.4,59
"2018-19","Portland Trail Blazers","SF","Maurice Harkless",25,23.6,60
"2019-20","New York Knicks","PF","Maurice Harkless",26,23,62
"2016-17","New York Knicks","PF","Maurice Ndour",24,10.3,32
"2021-22","Miami Heat","SG","Max Strus",25,23.3,68
"2022-23","Miami Heat","SG","Max Strus",26,28.4,80
"2017-18","Dallas Mavericks","PF","Maxi Kleber",26,16.8,72
"2020-21","Dallas Mavericks","PF","Maxi Kleber",29,26.8,50
"2013-14","Philadelphia 76ers","PG","Michael Carter-Williams",22,34.5,70
"2014-15","Milwaukee Bucks","PG","Michael Carter-Williams",23,32.6,66
"2015-16","Milwaukee Bucks","PG","Michael Carter-Williams",24,30.5,54
"2013-14","Charlotte Hornets","SF","Michael Kidd-Gilchrist",20,24.2,62
"2014-15","Charlotte Hornets","SF","Michael Kidd-Gilchrist",21,28.9,55
"2016-17","Charlotte Hornets","SF","Michael Kidd-Gilchrist",23,29,81
"2017-18","Charlotte Hornets","SF","Michael Kidd-Gilchrist",24,25,74
"2020-21","Denver Nuggets","SF","Michael Porter Jr.",22,31.3,61
"2022-23","Denver Nuggets","SF","Michael Porter Jr.",24,29,62
"2018-19","Phoenix Suns","SF","Mikal Bridges",22,29.5,82
"2019-20","Phoenix Suns","SF","Mikal Bridges",23,28,73
"2020-21","Phoenix Suns","SF","Mikal Bridges",24,32.6,72
"2021-22","Phoenix Suns","SF","Mikal Bridges",25,34.8,82
"2022-23","Brooklyn Nets","SG","Mikal Bridges",26,35.7,83
"2013-14","Memphis Grizzlies","PG","Mike Conley",26,33.5,73
"2014-15","Memphis Grizzlies","PG","Mike Conley",27,31.8,70
"2016-17","Memphis Grizzlies","PG","Mike Conley",29,33.2,69
"2018-19","Memphis Grizzlies","PG","Mike Conley",31,33.5,70
"2020-21","Utah Jazz","PG","Mike Conley",33,29.4,51
"2021-22","Utah Jazz","PG","Mike Conley",34,28.6,72
"2022-23","Minnesota Timberwolves","PG","Mike Conley",35,30.3,67
"2013-14","Chicago Bulls","SF","Mike Dunleavy",33,31.5,82
"2014-15","Chicago Bulls","SF","Mike Dunleavy",34,29.2,63
"2019-20","Charlotte Hornets","SF","Miles Bridges",21,30.7,65
"2021-22","Charlotte Hornets","PF","Miles Bridges",23,35.5,80
"2013-14","Phoenix Suns","C","Miles Plumlee",25,24.6,80
"2017-18","Atlanta Hawks","PF","Miles Plumlee",29,16.7,55
"2017-18","Los Angeles Clippers","PG","Milos Teodosic",30,25.2,45
"2021-22","New York Knicks","C","Mitchell Robinson",23,25.7,72
"2022-23","New York Knicks","C","Mitchell Robinson",24,27,59
"2015-16","Portland Trail Blazers","PF","Maurice Harkless",22,18.7,78
"2021-22","Orlando Magic","C","Mo Bamba",23,25.7,71
"2013-14","Dallas Mavericks","SG","Monta Ellis",28,36.9,82
"2014-15","Dallas Mavericks","SG","Monta Ellis",29,33.7,80
"2015-16","Indiana Pacers","SG","Monta Ellis",30,33.8,81
"2016-17","Indiana Pacers","SG","Monta Ellis",31,27,74
"2021-22","Denver Nuggets","PG","Monté Morris",26,29.9,75
"2022-23","Washington Wizards","PG","Monté Morris",27,27.3,62
"2015-16","Indiana Pacers","PF","Myles Turner",19,22.8,60
"2016-17","Indiana Pacers","C","Myles Turner",20,31.4,81
"2017-18","Indiana Pacers","C","Myles Turner",21,28.2,65
"2018-19","Indiana Pacers","C","Myles Turner",22,28.6,74
"2019-20","Indiana Pacers","C","Myles Turner",23,29.5,62
"2020-21","Indiana Pacers","C","Myles Turner",24,31,47
"2021-22","Indiana Pacers","C","Myles Turner",25,29.4,42
"2022-23","Indiana Pacers","C","Myles Turner",26,29.4,62
"2018-19","Sacramento Kings","PF","Nemanja Bjelica",30,23.2,77
"2019-20","Sacramento Kings","PF","Nemanja Bjelica",31,27.9,72
"2013-14","Washington Wizards","PF","Nene",31,29.4,53
"2014-15","Washington Wizards","PF","Nene",32,25.3,67
"2017-18","Houston Rockets","C","Nene",35,14.6,52
"2014-15","Philadelphia 76ers","C","Nerlens Noel",20,30.8,75
"2015-16","Philadelphia 76ers","SF","Nerlens Noel",21,29.3,67
"2016-17","Dallas Mavericks","C","Nerlens Noel",22,20.5,51
"2020-21","New York Knicks","C","Nerlens Noel",26,24.2,64
"2022-23","Minnesota Timberwolves","SF","Nickeil Alexander-Walker",24,15,59
"2013-14","Portland Trail Blazers","SF","Nicolas Batum",25,36,82
"2014-15","Portland Trail Blazers","SF","Nicolas Batum",26,33.5,71
"2016-17","Charlotte Hornets","SG","Nicolas Batum",28,34,77
"2017-18","Charlotte Hornets","SG","Nicolas Batum",29,31,64
"2018-19","Charlotte Hornets","SF","Nicolas Batum",30,31.4,75
"2020-21","Los Angeles Clippers","SF","Nicolas Batum",32,27.4,67
"2021-22","Los Angeles Clippers","SG","Nicolas Batum",33,24.8,59
"2022-23","Los Angeles Clippers","PF","Nicolas Batum",34,21.9,78
"2022-23","Brooklyn Nets","C","Nic Claxton",23,29.9,76
"2015-16","Denver Nuggets","C","Nikola Jokić",20,21.7,80
"2016-17","Denver Nuggets","C","Nikola Jokić",21,27.9,73
"2018-19","Denver Nuggets","C","Nikola Jokić",23,31.3,80
"2019-20","Denver Nuggets","C","Nikola Jokić",24,32,73
"2020-21","Denver Nuggets","C","Nikola Jokić",25,34.6,72
"2021-22","Denver Nuggets","C","Nikola Jokić",26,33.5,74
"2022-23","Denver Nuggets","C","Nikola Jokić",27,33.7,69
"2015-16","Chicago Bulls","SF","Nikola Mirotic",24,24.9,66
"2016-17","Chicago Bulls","PF","Nikola Mirotic",25,24,70
"2013-14","Minnesota Timberwolves","C","Nikola Pekovic",28,30.8,54
"2014-15","Minnesota Timberwolves","C","Nikola Pekovic",29,26.3,31
"2013-14","Orlando Magic","C","Nikola Vučević",23,31.8,57
"2014-15","Orlando Magic","C","Nikola Vučević",24,34.2,74
"2015-16","Orlando Magic","C","Nikola Vučević",25,31.3,65
"2016-17","Orlando Magic","C","Nikola Vučević",26,28.8,75
"2017-18","Orlando Magic","C","Nikola Vučević",27,29.5,57
"2018-19","Orlando Magic","C","Nikola Vučević",28,31.4,80
"2019-20","Orlando Magic","C","Nikola Vučević",29,32.2,62
"2020-21","Chicago Bulls","C","Nikola Vučević",30,33.5,70
"2021-22","Chicago Bulls","C","Nikola Vučević",31,33.1,73
"2022-23","Chicago Bulls","C","Nikola Vučević",32,33.5,82
"2016-17","Portland Trail Blazers","C","Noah Vonleh",21,17.1,74
"2018-19","New York Knicks","C","Noah Vonleh",23,25.3,68
"2016-17","Toronto Raptors","SF","Norman Powell",23,18,76
"2020-21","Portland Trail Blazers","SF","Norman Powell",27,32,69
"2021-22","Portland Trail Blazers","SF","Norman Powell",28,32.4,45
"2022-23","Los Angeles Clippers","SF","Norman Powell",29,26.1,60
"2013-14","Milwaukee Bucks","SG","O.J. Mayo",26,25.9,52
"2017-18","Toronto Raptors","SF","OG Anunoby",20,20,74
"2019-20","Toronto Raptors","SF","OG Anunoby",22,29.9,69
"2020-21","Toronto Raptors","PF","OG Anunoby",23,33.3,43
"2021-22","Toronto Raptors","SF","OG Anunoby",24,36,48
"2022-23","Toronto Raptors","SF","OG Anunoby",25,35.6,67
"2022-23","Utah Jazz","SG","Ochai Agbaji",22,20.5,59
"2013-14","Houston Rockets","C","Omer Asik",27,20.2,48
"2014-15","New Orleans Pelicans","C","Omer Asik",28,26.1,76
"2015-16","New Orleans Pelicans","C","Omer Asik",29,17.3,68
"2015-16","Washington Wizards","PF","Otto Porter Jr.",22,30.3,75
"2016-17","Washington Wizards","SF","Otto Porter Jr.",23,32.6,80
"2017-18","Washington Wizards","PF","Otto Porter Jr.",24,31.6,77
"2021-22","Golden State Warriors","PF","Otto Porter Jr.",28,22.2,63
"2013-14","Phoenix Suns","SF","P.J. Tucker",28,30.7,81
"2014-15","Phoenix Suns","SG","P.J. Tucker",29,30.6,78
"2015-16","Phoenix Suns","SF","P.J. Tucker",30,31,82
"2017-18","Houston Rockets","SF","P.J. Tucker",32,27.8,82
"2018-19","Houston Rockets","PF","P.J. Tucker",33,34.2,82
"2019-20","Houston Rockets","PF","P.J. Tucker",34,34.3,72
"2021-22","Miami Heat","PF","P.J. Tucker",36,27.9,71
"2022-23","Philadelphia 76ers","PF","P.J. Tucker",37,25.6,75
"2019-20","Charlotte Hornets","PF","P.J. Washington",21,30.3,58
"2020-21","Charlotte Hornets","PF","P.J. Washington",22,30.5,64
"2022-23","Charlotte Hornets","C","P.J. Washington",24,32.6,73
"2022-23","Orlando Magic","PF","Paolo Banchero",20,33.8,72
"2018-19","Toronto Raptors","PF","Pascal Siakam",24,31.9,80
"2019-20","Toronto Raptors","PF","Pascal Siakam",25,35.2,60
"2020-21","Toronto Raptors","C","Pascal Siakam",26,35.8,56
"2021-22","Toronto Raptors","PF","Pascal Siakam",27,37.9,68
"2022-23","Toronto Raptors","PF","Pascal Siakam",28,37.4,71
"2014-15","Houston Rockets","PG","Patrick Beverley",26,30.8,56
"2016-17","Houston Rockets","PG","Patrick Beverley",28,30.7,67
"2018-19","Los Angeles Clippers","PG","Patrick Beverley",30,27.4,78
"2019-20","Los Angeles Clippers","PG","Patrick Beverley",31,26.3,51
"2021-22","Minnesota Timberwolves","PG","Patrick Beverley",33,25.4,58
"2022-23","Chicago Bulls","PG","Patrick Beverley",34,27.1,67
"2020-21","Chicago Bulls","SF","Patrick Williams",19,27.9,71
"2021-22","Chicago Bulls","PF","Patrick Williams",20,24.8,17
"2022-23","Chicago Bulls","PF","Patrick Williams",21,28.3,82
"2016-17","San Antonio Spurs","PG","Patty Mills",28,21.9,80
"2017-18","San Antonio Spurs","PG","Patty Mills",29,25.7,82
"2013-14","Los Angeles Lakers","C","Pau Gasol",33,31.4,60
"2014-15","Chicago Bulls","PF","Pau Gasol",34,34.4,78
"2015-16","Chicago Bulls","C","Pau Gasol",35,31.8,72
"2016-17","San Antonio Spurs","C","Pau Gasol",36,25.4,64
"2017-18","San Antonio Spurs","C","Pau Gasol",37,23.5,77
"2013-14","Indiana Pacers","SF","Paul George",23,36.2,80
"2015-16","Indiana Pacers","SF","Paul George",25,34.8,81
"2016-17","Indiana Pacers","SF","Paul George",26,35.9,75
"2017-18","Oklahoma City Thunder","SF","Paul George",27,36.6,79
"2018-19","Oklahoma City Thunder","SF","Paul George",28,36.9,77
"2019-20","Los Angeles Clippers","SG","Paul George",29,29.6,48
"2020-21","Los Angeles Clippers","SG","Paul George",30,33.7,54
"2013-14","Atlanta Hawks","PF","Paul Millsap",28,33.5,74
"2014-15","Atlanta Hawks","PF","Paul Millsap",29,32.7,73
