"Date","Team","Acquired","Relinquished","Notes","Player","Season"
2019-02-12,"Celtics","","• Kyrie Irving","placed on IL with strained right knee","Kyrie Irving","2018-19"
2019-02-21,"Celtics","• Kyrie Irving","","activated from IL","Kyrie Irving","2018-19"
2019-03-06,"Celtics","","• Kyrie Irving","placed on IL with left thigh injury","Kyrie Irving","2018-19"
2019-03-09,"Celtics","• Kyrie Irving","","activated from IL","Kyrie Irving","2018-19"
2019-03-30,"Celtics","","• Kyrie Irving","placed on IL with sore lower back","Kyrie Irving","2018-19"
2019-04-01,"Celtics","• Kyrie Irving","","activated from IL","Kyrie Irving","2018-19"
2019-04-08,"Celtics","","• Kyrie Irving","bruised right knee (DTD)","Kyrie Irving","2018-19"
2019-04-09,"Celtics","","• Kyrie Irving","placed on IL with bruised right knee","Kyrie Irving","2018-19"
2019-04-13,"Celtics","• Kyrie Irving","","activated from IL","Kyrie Irving","2018-19"
2020-12-28,"Nets","","• Kyrie Irving","placed on IL","Kyrie Irving","2020-21"
2020-12-30,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2020-21"
2021-01-07,"Nets","","• Kyrie Irving","placed on IL for personal reasons","Kyrie Irving","2020-21"
2021-01-20,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2020-21"
2021-02-06,"Nets","","• Kyrie Irving","placed on IL with right index finger injury","Kyrie Irving","2020-21"
2021-02-09,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2020-21"
2021-02-16,"Nets","","• Kyrie Irving","placed on IL with tightness in lower back","Kyrie Irving","2020-21"
2021-02-17,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2020-21"
2021-02-27,"Nets","","• Kyrie Irving","placed on IL with right shoulder injury","Kyrie Irving","2020-21"
2021-03-01,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2020-21"
2021-03-17,"Nets","","• Kyrie Irving","right groin injury (DTD)","Kyrie Irving","2020-21"
2021-03-19,"Nets","• Kyrie Irving","","returned to lineup","Kyrie Irving","2020-21"
2021-03-22,"Nets","","• Kyrie Irving","placed on IL for personal reasons","Kyrie Irving","2020-21"
2021-03-28,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2020-21"
2021-04-11,"Nets","","• Kyrie Irving","placed on IL for personal reasons","Kyrie Irving","2020-21"
2021-04-14,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2020-21"
2021-04-29,"Nets","","• Kyrie Irving","placed on IL with right groin injury","Kyrie Irving","2020-21"
2021-04-30,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2020-21"
2021-10-18,"Nets","","• Kyrie Irving","placed on IL","Kyrie Irving","2021-22"
2021-12-18,"Nets","","• Kyrie Irving","placed on IL with NBA health and safety protocols","Kyrie Irving","2021-22"
2022-01-05,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2021-22"
2022-01-25,"Nets","","• Kyrie Irving","placed on IL ineligible","Kyrie Irving","2021-22"
2022-01-29,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2021-22"
2022-02-07,"Nets","","• Kyrie Irving","placed on IL ineligible","Kyrie Irving","2021-22"
2022-02-10,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2021-22"
2022-02-14,"Nets","","• Kyrie Irving","placed on IL ineligible","Kyrie Irving","2021-22"
2022-02-26,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2021-22"
2022-02-28,"Nets","","• Kyrie Irving","placed on IL ineligible","Kyrie Irving","2021-22"
2022-03-13,"Nets","","• Kyrie Irving","placed on IL ineligible","Kyrie Irving","2021-22"
2022-03-15,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2021-22"
2022-03-16,"Nets","","• Kyrie Irving","placed on IL ineligible","Kyrie Irving","2021-22"
2022-03-22,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2021-22"
2022-04-19,"Nets","","• Kyrie Irving","sore right knee (DTD)","Kyrie Irving","2021-22"
2022-12-21,"Nets","","• Kyrie Irving","right calf injury (DTD)","Kyrie Irving","2022-23"
2022-12-23,"Nets","• Kyrie Irving","","returned to lineup","Kyrie Irving","2022-23"
2023-01-17,"Nets","","• Kyrie Irving","placed on IL with right calf injury","Kyrie Irving","2022-23"
2023-01-19,"Nets","• Kyrie Irving","","activated from IL","Kyrie Irving","2022-23"
2023-02-15,"Mavericks","","• Kyrie Irving","placed on IL with tightness in lower back","Kyrie Irving","2022-23"
2023-02-22,"Mavericks","• Kyrie Irving","","activated from IL","Kyrie Irving","2022-23"
2023-03-11,"Mavericks","","• Kyrie Irving","placed on IL with sore right foot","Kyrie Irving","2022-23"
2023-03-17,"Mavericks","• Kyrie Irving","","activated from IL","Kyrie Irving","2022-23"
2023-03-22,"Mavericks","","• Kyrie Irving","placed on IL with sore right foot","Kyrie Irving","2022-23"
2023-03-24,"Mavericks","• Kyrie Irving","","activated from IL","Kyrie Irving","2022-23"
2023-04-07,"Mavericks","","• Kyrie Irving","placed on IL with right foot injury (out for season)","Kyrie Irving","2022-23"
2014-02-19,"Blazers","","• LaMarcus Aldridge","strained left groin (DNP)","LaMarcus Aldridge","2013-14"
2014-02-21,"Blazers","","• LaMarcus Aldridge","strained left groin (DNP)","LaMarcus Aldridge","2013-14"
2014-02-23,"Blazers","","• LaMarcus Aldridge","strained left groin (DNP)","LaMarcus Aldridge","2013-14"
2014-02-25,"Blazers","","• LaMarcus Aldridge","strained left groin (DNP)","LaMarcus Aldridge","2013-14"
2014-02-26,"Blazers","","• LaMarcus Aldridge","strained left groin (DNP)","LaMarcus Aldridge","2013-14"
2014-03-13,"Blazers","","• LaMarcus Aldridge","bruised lower back (DTD)","LaMarcus Aldridge","2013-14"
2014-03-14,"Blazers","","• LaMarcus Aldridge","bruised lower back (DNP)","LaMarcus Aldridge","2013-14"
2014-03-16,"Blazers","","• LaMarcus Aldridge","placed on IL with bruised lower back","LaMarcus Aldridge","2013-14"
2014-03-27,"Blazers","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2013-14"
2014-04-16,"Blazers","","• LaMarcus Aldridge","placed on IL (out for season)","LaMarcus Aldridge","2013-14"
2014-11-15,"Blazers","","• LaMarcus Aldridge","placed on IL with upper respiratory infection","LaMarcus Aldridge","2014-15"
2014-11-17,"Blazers","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2014-15"
2014-12-22,"Blazers","","• LaMarcus Aldridge","placed on IL with upper respiratory illness","LaMarcus Aldridge","2014-15"
2014-12-23,"Blazers","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2014-15"
2014-12-26,"Blazers","","• LaMarcus Aldridge","placed on IL with upper respiratory infection","LaMarcus Aldridge","2014-15"
2014-12-30,"Blazers","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2014-15"
2015-01-21,"Blazers","","• LaMarcus Aldridge","left thumb injury (DTD)","LaMarcus Aldridge","2014-15"
2015-01-24,"Blazers","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2014-15"
2015-02-22,"Blazers","","• LaMarcus Aldridge","sprained right thumb (DTD)","LaMarcus Aldridge","2014-15"
2015-02-25,"Blazers","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2014-15"
2015-03-24,"Blazers","","• LaMarcus Aldridge","left finger injury (DTD)","LaMarcus Aldridge","2014-15"
2015-03-25,"Blazers","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2014-15"
2015-04-06,"Blazers","","• LaMarcus Aldridge","sprained left thumb (DTD)","LaMarcus Aldridge","2014-15"
2015-04-08,"Blazers","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2014-15"
2015-04-10,"Blazers","","• LaMarcus Aldridge","sprained left foot (DTD)","LaMarcus Aldridge","2014-15"
2015-04-15,"Blazers","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2014-15"
2015-11-21,"Spurs","","• LaMarcus Aldridge","placed on IL with sprained left ankle","LaMarcus Aldridge","2015-16"
2015-11-25,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2015-16"
2016-01-06,"Spurs","","• LaMarcus Aldridge","placed on IL for rest","LaMarcus Aldridge","2015-16"
2016-01-08,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2015-16"
2016-01-22,"Spurs","","• LaMarcus Aldridge","placed on IL with back spasms","LaMarcus Aldridge","2015-16"
2016-01-25,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2015-16"
2016-03-05,"Spurs","","• LaMarcus Aldridge","placed on IL with migraine headache","LaMarcus Aldridge","2015-16"
2016-03-07,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2015-16"
2016-03-26,"Spurs","","• LaMarcus Aldridge","rest (DTD)","LaMarcus Aldridge","2015-16"
2016-03-28,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2015-16"
2016-04-08,"Spurs","","• LaMarcus Aldridge","rest (DTD)","LaMarcus Aldridge","2015-16"
2016-04-10,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2015-16"
2016-04-13,"Spurs","","• LaMarcus Aldridge","rest (DTD)","LaMarcus Aldridge","2015-16"
2016-04-17,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2015-16"
2016-10-30,"Spurs","","• LaMarcus Aldridge","placed on IL with knee injury / rest","LaMarcus Aldridge","2016-17"
2016-11-01,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2016-17"
2016-11-21,"Spurs","","• LaMarcus Aldridge","rest (DTD)","LaMarcus Aldridge","2016-17"
2016-12-14,"Spurs","","• LaMarcus Aldridge","placed on IL for rest","LaMarcus Aldridge","2016-17"
2016-12-18,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2016-17"
2017-01-10,"Spurs","","• LaMarcus Aldridge","gastroenteritis (DTD)","LaMarcus Aldridge","2016-17"
2017-01-12,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2016-17"
2017-02-02,"Spurs","","• LaMarcus Aldridge","placed on IL with sore right knee","LaMarcus Aldridge","2016-17"
2017-02-04,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2016-17"
2017-03-08,"Spurs","","• LaMarcus Aldridge","placed on IL for rest","LaMarcus Aldridge","2016-17"
2017-03-09,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2016-17"
2017-03-11,"Spurs","","• LaMarcus Aldridge","placed on IL with heart arrhythmia","LaMarcus Aldridge","2016-17"
2017-03-15,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2016-17"
2017-04-02,"Spurs","","• LaMarcus Aldridge","sprained left/right thumb (DTD)","LaMarcus Aldridge","2016-17"
2017-04-04,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2016-17"
2017-04-07,"Spurs","","• LaMarcus Aldridge","rest (DTD)","LaMarcus Aldridge","2016-17"
2017-04-08,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2016-17"
2017-12-03,"Spurs","","• LaMarcus Aldridge","rest (DTD)","LaMarcus Aldridge","2017-18"
2017-12-04,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2017-18"
2018-01-05,"Spurs","","• LaMarcus Aldridge","rest (DTD)","LaMarcus Aldridge","2017-18"
2018-01-07,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2017-18"
2018-01-24,"Spurs","","• LaMarcus Aldridge","rest (DTD)","LaMarcus Aldridge","2017-18"
2018-01-26,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2017-18"
2018-02-11,"Spurs","","• LaMarcus Aldridge","sore right knee (DTD)","LaMarcus Aldridge","2017-18"
2018-02-12,"Spurs","","• LaMarcus Aldridge","placed on IL with sore right knee","LaMarcus Aldridge","2017-18"
2018-02-23,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2017-18"
2018-03-03,"Spurs","","• LaMarcus Aldridge","placed on IL with sprained right ankle","LaMarcus Aldridge","2017-18"
2018-03-05,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2017-18"
2018-03-11,"Spurs","","• LaMarcus Aldridge","sore right knee (DTD)","LaMarcus Aldridge","2017-18"
2018-03-12,"Spurs","","• LaMarcus Aldridge","placed on IL with sore right knee","LaMarcus Aldridge","2017-18"
2018-03-13,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2017-18"
2019-11-30,"Spurs","","• LaMarcus Aldridge","right thigh injury (DTD)","LaMarcus Aldridge","2019-20"
2019-12-01,"Spurs","","• LaMarcus Aldridge","placed on IL with right thigh injury","LaMarcus Aldridge","2019-20"
2019-12-03,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2019-20"
2019-12-06,"Spurs","• LaMarcus Aldridge","","returned to lineup","LaMarcus Aldridge","2019-20"
2020-01-27,"Spurs","","• LaMarcus Aldridge","placed on IL with sprained right thumb","LaMarcus Aldridge","2019-20"
2020-02-01,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2019-20"
2020-02-26,"Spurs","","• LaMarcus Aldridge","placed on IL with strained right shoulder","LaMarcus Aldridge","2019-20"
2020-03-10,"Spurs","• LaMarcus Aldridge","","activated from IL","LaMarcus Aldridge","2019-20"
2021-12-04,"Hornets","","• LaMelo Ball","placed on IL with NBA health and safety protocols","LaMelo Ball","2021-22"
2021-12-15,"Hornets","• LaMelo Ball","","activated from IL","LaMelo Ball","2021-22"
2022-10-11,"Hornets","","• LaMelo Ball","sprained left ankle (DTD)","LaMelo Ball","2022-23"
2023-01-23,"Hornets","","• LaMelo Ball","placed on IL with ankle, wrist injuries","LaMelo Ball","2022-23"
2023-01-26,"Hornets","• LaMelo Ball","","activated from IL","LaMelo Ball","2022-23"
2023-02-27,"Hornets","","• LaMelo Ball","fractured right ankle (out indefinitely)","LaMelo Ball","2022-23"
2023-03-01,"Hornets","","• LaMelo Ball","placed on IL with fractured right ankle","LaMelo Ball","2022-23"
2014-01-08,"Pacers","","• Lance Stephenson","placed on IL with bruised right knee","Lance Stephenson","2013-14"
2014-01-10,"Pacers","• Lance Stephenson","","activated from IL","Lance Stephenson","2013-14"
2014-02-07,"Pacers","","• Lance Stephenson","sore lower back (DNP)","Lance Stephenson","2013-14"
2014-04-09,"Pacers","","• Lance Stephenson","rest (DNP)","Lance Stephenson","2013-14"
2018-03-11,"Knicks","","• Lance Thomas","placed on IL with sprained right thumb","Lance Thomas","2017-18"
2018-03-13,"Knicks","• Lance Thomas","","activated from IL","Lance Thomas","2017-18"
2018-03-15,"Knicks","","• Lance Thomas","placed on IL for personal reasons","Lance Thomas","2017-18"
2018-03-17,"Knicks","• Lance Thomas","","activated from IL","Lance Thomas","2017-18"
2018-03-19,"Knicks","","• Lance Thomas","placed on IL for personal reasons","Lance Thomas","2017-18"
2018-03-25,"Knicks","• Lance Thomas","","activated from IL","Lance Thomas","2017-18"
2018-04-06,"Knicks","","• Lance Thomas","placed on IL with illness","Lance Thomas","2017-18"
2018-04-07,"Knicks","• Lance Thomas","","activated from IL","Lance Thomas","2017-18"
2019-03-26,"Clippers","","• Landry Shamet","placed on IL with left ankle injury","Landry Shamet","2018-19"
2019-03-28,"Clippers","• Landry Shamet","","activated from IL","Landry Shamet","2018-19"
2016-11-07,"Lakers","","• Larry Nance Jr.","concussion (DTD)","Larry Nance Jr.","2016-17"
2016-11-08,"Lakers","","• Larry Nance Jr.","placed on IL with concussion","Larry Nance Jr.","2016-17"
2016-11-10,"Lakers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2016-17"
2016-12-03,"Lakers","","• Larry Nance Jr.","bruised/sore right knee (DTD)","Larry Nance Jr.","2016-17"
2016-12-07,"Lakers","• Larry Nance Jr.","","returned to lineup","Larry Nance Jr.","2016-17"
2016-12-21,"Lakers","","• Larry Nance Jr.","bone bruise in left knee (DTD)","Larry Nance Jr.","2016-17"
2016-12-22,"Lakers","","• Larry Nance Jr.","bone bruise in left knee (DTD)","Larry Nance Jr.","2016-17"
2016-12-23,"Lakers","","• Larry Nance Jr.","placed on IL with bone bruise in left knee","Larry Nance Jr.","2016-17"
2017-01-22,"Lakers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2016-17"
2018-10-17,"Cavaliers","","• Larry Nance Jr.","placed on IL with sprained right ankle","Larry Nance Jr.","2018-19"
2018-10-21,"Cavaliers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2018-19"
2019-01-09,"Cavaliers","","• Larry Nance Jr.","placed on IL with sprained MCL in right knee","Larry Nance Jr.","2018-19"
2019-01-25,"Cavaliers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2018-19"
2019-03-08,"Cavaliers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2018-19"
2019-03-10,"Cavaliers","","• Larry Nance Jr.","rib injury (DTD)","Larry Nance Jr.","2018-19"
2019-03-12,"Cavaliers","","• Larry Nance Jr.","placed on IL with rib injury","Larry Nance Jr.","2018-19"
2019-03-20,"Cavaliers","• Larry Nance Jr.","","returned to lineup","Larry Nance Jr.","2018-19"
2021-01-25,"Cavaliers","","• Larry Nance Jr.","placed on IL with sprained right wrist","Larry Nance Jr.","2020-21"
2021-01-29,"Cavaliers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2020-21"
2021-02-01,"Cavaliers","","• Larry Nance Jr.","placed on IL with sprained right wrist","Larry Nance Jr.","2020-21"
2021-02-06,"Cavaliers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2020-21"
2021-02-07,"Cavaliers","","• Larry Nance Jr.","placed on IL with fractured left hand/finger","Larry Nance Jr.","2020-21"
2021-03-11,"Cavaliers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2020-21"
2021-03-29,"Cavaliers","","• Larry Nance Jr.","placed on IL with illness","Larry Nance Jr.","2020-21"
2021-04-13,"Cavaliers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2020-21"
2021-04-18,"Cavaliers","","• Larry Nance Jr.","placed on IL for personal reasons","Larry Nance Jr.","2020-21"
2021-04-20,"Cavaliers","• Larry Nance Jr.","","activated from IL","Larry Nance Jr.","2020-21"
2021-04-26,"Cavaliers","","• Larry Nance Jr.","placed on IL with fractured right thumb (out for season)","Larry Nance Jr.","2020-21"
2013-11-06,"Bucks","","• Larry Sanders (b. 1988-11-21)","sprained right thumb (DNP)","Larry Sanders","2013-14"
2013-11-09,"Bucks","","• Larry Sanders (b. 1988-11-21)","sprained right thumb (DNP)","Larry Sanders","2013-14"
2013-11-11,"Bucks","","• Larry Sanders (b. 1988-11-21)","surgery on right thumb to repaor torn ligament (out indefinitely)","Larry Sanders","2013-14"
2013-11-12,"Bucks","","• Larry Sanders (b. 1988-11-21)","recovering from surgery on right thumb to repaor torn ligament (DNP)","Larry Sanders","2013-14"
2013-11-13,"Bucks","","• Larry Sanders (b. 1988-11-21)","recovering from surgery on right thumb to repaor torn ligament (DNP)","Larry Sanders","2013-14"
2013-11-15,"Bucks","","• Larry Sanders (b. 1988-11-21)","placed on IL recovering from surgery on right thumb to repaor torn ligament","Larry Sanders","2013-14"
2013-12-27,"Bucks","• Larry Sanders (b. 1988-11-21)","","activated from IL","Larry Sanders","2013-14"
2014-01-22,"Bucks","","• Larry Sanders (b. 1988-11-21)","illness (DNP)","Larry Sanders","2013-14"
2014-01-27,"Bucks","","• Larry Sanders (b. 1988-11-21)","illness (DNP)","Larry Sanders","2013-14"
2014-02-10,"Bucks","","• Larry Sanders (b. 1988-11-21)","fractured right orbital bone (DNP)","Larry Sanders","2013-14"
2014-02-12,"Bucks","","• Larry Sanders (b. 1988-11-21)","fractured right orbital bone (DNP)","Larry Sanders","2013-14"
2014-02-15,"Bucks","","• Larry Sanders (b. 1988-11-21)","surgery to repair fractured orbital bone (out indefinitely)","Larry Sanders","2013-14"
2014-02-18,"Bucks","","• Larry Sanders (b. 1988-11-21)","placed on IL recovering from surgery to repair fractured orbital bone","Larry Sanders","2013-14"
2014-04-09,"Bucks","• Larry Sanders (b. 1988-11-21)","","activated from IL","Larry Sanders","2013-14"
2017-12-11,"Bulls","","• Lauri Markkanen","back spasms / sore lower back (DTD)","Lauri Markkanen","2017-18"
2017-12-13,"Bulls","","• Lauri Markkanen","back spasms (DTD)","Lauri Markkanen","2017-18"
2017-12-15,"Bulls","","• Lauri Markkanen","placed on IL with back spasms","Lauri Markkanen","2017-18"
2017-12-18,"Bulls","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2017-18"
2018-01-30,"Bulls","","• Lauri Markkanen","birth of child (DTD)","Lauri Markkanen","2017-18"
2018-02-09,"Bulls","• Lauri Markkanen","","returned to lineup","Lauri Markkanen","2017-18"
2018-03-13,"Bulls","","• Lauri Markkanen","placed on IL with lower back spasms","Lauri Markkanen","2017-18"
2018-03-17,"Bulls","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2017-18"
2018-03-21,"Bulls","","• Lauri Markkanen","placed on IL with back spasms","Lauri Markkanen","2017-18"
2018-03-23,"Bulls","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2017-18"
2018-03-24,"Bulls","","• Lauri Markkanen","placed on IL with back spasms","Lauri Markkanen","2017-18"
2018-03-27,"Bulls","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2017-18"
2018-03-29,"Bulls","","• Lauri Markkanen","rest (DTD)","Lauri Markkanen","2017-18"
2018-03-30,"Bulls","• Lauri Markkanen","","returned to lineup","Lauri Markkanen","2017-18"
2018-10-18,"Bulls","","• Lauri Markkanen","placed on IL with sprained right elbow","Lauri Markkanen","2018-19"
2018-12-01,"Bulls","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2018-19"
2019-03-27,"Bulls","","• Lauri Markkanen","placed on IL with fatigue (out for season)","Lauri Markkanen","2018-19"
2020-01-24,"Bulls","","• Lauri Markkanen","placed on IL with stress reaction in pelvis","Lauri Markkanen","2019-20"
2020-03-04,"Bulls","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2019-20"
2021-11-03,"Cavaliers","","• Lauri Markkanen","placed on IL with NBA health and safety protocols","Lauri Markkanen","2021-22"
2021-11-21,"Cavaliers","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2021-22"
2022-01-23,"Cavaliers","","• Lauri Markkanen","placed on IL with sprained right ankle","Lauri Markkanen","2021-22"
2022-02-24,"Cavaliers","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2021-22"
2022-03-12,"Cavaliers","","• Lauri Markkanen","placed on IL with sore right ankle","Lauri Markkanen","2021-22"
2022-03-14,"Cavaliers","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2021-22"
2022-12-07,"Jazz","","• Lauri Markkanen","placed on IL with illness","Lauri Markkanen","2022-23"
2022-12-13,"Jazz","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2022-23"
2023-01-14,"Jazz","","• Lauri Markkanen","placed on IL with bruised left hip","Lauri Markkanen","2022-23"
2023-01-18,"Jazz","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2022-23"
2023-02-15,"Jazz","","• Lauri Markkanen","placed on IL with sore right knee","Lauri Markkanen","2022-23"
2023-02-23,"Jazz","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2022-23"
2023-03-04,"Jazz","","• Lauri Markkanen","placed on IL with sore lower back","Lauri Markkanen","2022-23"
2023-03-06,"Jazz","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2022-23"
2023-03-20,"Jazz","","• Lauri Markkanen","placed on IL with sore back","Lauri Markkanen","2022-23"
2023-03-22,"Jazz","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2022-23"
2023-03-23,"Jazz","","• Lauri Markkanen","placed on IL with left hand injury","Lauri Markkanen","2022-23"
2023-03-27,"Jazz","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2022-23"
2023-03-29,"Jazz","","• Lauri Markkanen","placed on IL with left hand injury","Lauri Markkanen","2022-23"
2023-04-02,"Jazz","• Lauri Markkanen","","activated from IL","Lauri Markkanen","2022-23"
2023-04-04,"Jazz","","• Lauri Markkanen","placed on IL with left hand injury (out for season)","Lauri Markkanen","2022-23"
2013-12-28,"Heat","","• LeBron James","placed on IL with strained right groin","LeBron James","2013-14"
2013-12-30,"Heat","• LeBron James","","activated from IL","LeBron James","2013-14"
2014-02-23,"Heat","","• LeBron James","fractured nose (DTD)","LeBron James","2013-14"
2014-02-23,"Heat","","• LeBron James","placed on IL with fractured nose","LeBron James","2013-14"
2014-02-27,"Heat","• LeBron James","","activated from IL","LeBron James","2013-14"
2014-03-19,"Heat","","• LeBron James","placed on IL with back spasms","LeBron James","2013-14"
2014-03-21,"Heat","• LeBron James","","activated from IL","LeBron James","2013-14"
2014-04-14,"Heat","","• LeBron James","placed on IL","LeBron James","2013-14"
2014-12-11,"Cavaliers","","• LeBron James","sore left knee (DTD)","LeBron James","2014-15"
2014-12-12,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2014-15"
2014-12-30,"Cavaliers","","• LeBron James","placed on IL with strained left knee","LeBron James","2014-15"
2015-01-13,"Cavaliers","• LeBron James","","activated from IL","LeBron James","2014-15"
2015-01-28,"Cavaliers","","• LeBron James","sprained right wrist (DTD)","LeBron James","2014-15"
2015-01-30,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2014-15"
2015-02-27,"Cavaliers","","• LeBron James","back injury (DTD)","LeBron James","2014-15"
2015-03-01,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2014-15"
2015-04-12,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2014-15"
2015-04-13,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2014-15"
2015-04-15,"Cavaliers","","• LeBron James","placed on IL for rest","LeBron James","2014-15"
2015-04-19,"Cavaliers","• LeBron James","","activated from IL","LeBron James","2014-15"
2015-12-05,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2015-16"
2015-12-08,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2015-16"
2016-02-28,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2015-16"
2016-02-29,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2015-16"
2016-03-16,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2015-16"
2016-03-29,"Cavaliers","","• LeBron James","placed on IL","LeBron James","2015-16"
2016-03-31,"Cavaliers","• LeBron James","","activated from IL","LeBron James","2015-16"
2016-04-06,"Cavaliers","","• LeBron James","placed on IL for rest","LeBron James","2015-16"
2016-04-09,"Cavaliers","• LeBron James","","activated from IL","LeBron James","2015-16"
2016-04-13,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2015-16"
2016-11-16,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2016-17"
2016-11-18,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2016-17"
2016-12-14,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2016-17"
2016-12-17,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2016-17"
2016-12-26,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2016-17"
2016-12-29,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2016-17"
2017-02-25,"Cavaliers","","• LeBron James","illness (DTD)","LeBron James","2016-17"
2017-02-27,"Cavaliers","• LeBron James","","returned to lineup","LeBron James","2016-17"
2017-03-04,"Cavaliers","","• LeBron James","rest (DTD)","LeBron James","2016-17"
