"Date","MP","Rolling_Avg_MP","Season","Player","Team","Position","Age","MPG","G","Travel","Distance","Injury_Indicator","Injury_Severity","Injury_Notes","PG","SG","SF","PF","C","Is_2019_20","Is_2020_21","Is_2021_22","treatment","distance_average","Is_3rd_Game_in_4_Days","Is_4th_Game_in_5_Days","Is_5th_Game_in_7_Days","Season_Phase","Early_Treatment","Mid_Treatment","Late_Treatment","Total_Early_Treatment","Total_Mid_Treatment","Total_Late_Treatment","Rows_In_Phase","Total_Games","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency"
2018-03-18,31.2,36.24,"2017-18","Damian Lillard","Portland Trail Blazers","PG",27,36.6,73,1,821,0,0,"",1,0,0,0,0,0,0,0,0,410.5,1,0,0,"Late",0,0,0,0,0,0,5,12,0,0,0.2,0.0833333333333333
2019-12-09,0,30.86,"2019-20","Danilo Gallinari","Oklahoma City Thunder","PF",31,29.6,62,0,0,0,0,"",0,0,0,1,0,1,0,0,1,1485,1,0,0,"Mid",0,1,0,0,1,0,2,9,0,1,0.75,0.555555555555556
2018-04-04,22.3333333333333,26.7866666666667,"2017-18","Danny Green","San Antonio Spurs","SF",30,25.6,70,0,0,0,0,"",0,0,1,0,0,0,0,0,0,605,1,0,0,"Late",0,0,0,2,0,0,3,10,0.333333333333333,0,0,0.2
2021-04-14,26.0333333333333,7.105427357601e-16,"2020-21","DeAndre Jordan","Brooklyn Nets","C",32,21.9,57,1,983,0,0,"",0,0,0,0,1,0,1,0,0,1002,0,0,0,"Late",0,0,0,0,0,0,2,9,0,0,0,0
2018-11-04,32.7833333333333,37.7233333333333,"2018-19","DeMar DeRozan","San Antonio Spurs","SF",29,34.9,77,0,0,0,0,"",0,0,1,0,0,0,0,0,0,423.5,0,0,0,"Early",0,0,0,0,0,0,5,11,0,0,0,0
2021-11-22,34.25,31.43,"2021-22","Devin Booker","Phoenix Suns","SG",25,34.5,68,1,847,0,0,"",0,1,0,0,0,0,0,1,0,423.5,1,0,0,"Early",0,0,0,0,0,0,4,11,0,0,0.2,0.0909090909090909
2018-10-22,27.5666666666667,32.975,"2018-19","Draymond Green","Golden State Warriors","PF",28,31.3,66,1,956,0,0,"",0,0,0,1,0,0,0,0,0,667.5,1,0,0,"Early",0,0,0,0,0,0,3,11,0.333333333333333,0,0.166666666666667,0.181818181818182
2021-12-16,30.1166666666667,25.1666666666667,"2021-22","Eric Gordon","Houston Rockets","SF",33,29.3,57,1,1115,0,0,"",0,0,1,0,0,0,0,1,1,1115,1,0,1,"Mid",0,1,0,3,1,0,5,11,1,0.6,1,0.818181818181818
2019-04-01,29.9666666666667,24.9333333333333,"2018-19","Giannis Antetokounmpo","Milwaukee Bucks","PF",24,32.8,72,1,748,0,0,"",0,0,0,1,0,0,0,0,1,748,0,0,0,"Late",0,0,1,1,0,2,5,12,0.25,0,0.6,0.333333333333333
2021-01-02,38.5,34.3666666666667,"2020-21","Gordon Hayward","Charlotte Hornets","SF",30,34,44,1,456,0,0,"",0,0,1,0,0,0,1,0,0,692,1,0,0,"Early",0,0,0,0,0,0,6,9,0.166666666666667,0,-Inf,0.111111111111111
2021-03-20,32.9,36.0366666666667,"2020-21","Harrison Barnes","Sacramento Kings","SF",28,36.2,58,1,268,0,0,"",0,0,1,0,0,0,1,0,0,331,1,0,0,"Mid",0,0,0,0,0,0,5,13,0,0,0,0
2018-03-07,34.7666666666667,35.54,"2017-18","James Harden","Houston Rockets","SG",28,35.4,72,1,731,0,0,"",0,1,0,0,0,0,0,0,0,572,0,0,0,"Late",0,0,0,0,0,0,7,13,0,0,0.285714285714286,0.153846153846154
2019-12-28,41.5666666666667,35.5233333333333,"2019-20","Jimmy Butler","Miami Heat","SG",30,33.8,58,0,0,0,0,"",0,1,0,0,0,1,0,0,0,0,0,0,0,"Mid",0,0,0,0,0,0,4,9,0,0.25,0,0.111111111111111
2019-11-09,23.3,23.5233333333333,"2019-20","Jonas Valanciunas","Memphis Grizzlies","C",27,26.4,70,1,682,0,0,"",0,0,0,0,1,1,0,0,0,682,1,0,0,"Early",0,0,0,0,0,0,1,9,0,0.25,0,0.111111111111111
2021-05-11,34.5333333333333,33.5233333333333,"2020-21","Jrue Holiday","Milwaukee Bucks","PG",30,32.3,59,1,1107,0,0,"",1,0,0,0,0,0,1,0,0,1107,0,0,0,"Late",0,0,0,0,1,1,8,13,0,1,0.25,0.230769230769231
2022-11-21,33.2333333333333,31.9966666666667,"2022-23","Julius Randle","New York Knicks","PF",28,35.5,77,1,839,0,0,"",0,0,0,1,0,0,0,0,0,745.5,1,0,1,"Early",0,0,0,0,0,0,5,12,0,0,0,0
2021-03-15,40.4,27.01,"2020-21","Kawhi Leonard","Los Angeles Clippers","PF",29,34.1,52,1,445,0,0,"",0,0,0,1,0,0,1,0,0,1065.5,0,0,0,"Mid",0,0,0,0,0,0,3,7,0,0.333333333333333,0,0.142857142857143
2018-02-23,32.75,35.5066666666667,"2017-18","Kemba Walker","Charlotte Hornets","PG",27,34.2,80,1,332,0,0,"",1,0,0,0,0,0,0,0,0,398,0,0,0,"Late",0,0,0,0,0,0,5,14,0,0,0,0
2020-02-01,25.8833333333333,28.4066666666667,"2019-20","Kentavious Caldwell-Pope","Los Angeles Lakers","SF",26,25.5,69,1,352,0,0,"",0,0,1,0,0,1,0,0,0,1375,0,0,0,"Late",0,0,0,0,0,0,3,8,0,0,0,0
2022-01-13,0,38.8866666666667,"2021-22","Kevin Durant","Brooklyn Nets","PF",33,37.2,55,0,0,0,0,"",0,0,0,1,0,0,0,1,1,1753,1,1,1,"Mid",0,1,0,1,1,0,2,10,0.2,0.5,0,0.2
2022-11-21,11.7166666666667,23.2133333333333,"2022-23","Kevin Love","Miami Heat","PF",34,20,62,0,0,1,11,"placed on IL with right thumb injury",0,0,0,1,0,0,0,0,1,0,1,0,0,"Early",1,0,0,1,0,0,3,11,0.333333333333333,0,0.166666666666667,0.181818181818182
2017-12-23,40.4666666666667,38.1033333333333,"2017-18","Khris Middleton","Milwaukee Bucks","SF",26,36.4,82,1,664,0,0,"",0,0,1,0,0,0,0,0,0,332,0,0,0,"Mid",0,0,0,0,0,0,7,15,0,0,0,0
2018-10-22,25.1333333333333,35.4333333333333,"2018-19","Klay Thompson","Golden State Warriors","SG",28,34,78,1,956,0,0,"",0,1,0,0,0,0,0,0,0,667.5,1,0,0,"Early",0,0,0,0,0,0,5,13,0,0,0.166666666666667,0.0769230769230769
2018-10-20,34.7666666666667,35.5833333333333,"2018-19","Kyle Lowry","Toronto Raptors","PG",32,34,65,1,350,0,0,"",1,0,0,0,0,0,0,0,0,175,1,0,0,"Early",0,0,0,0,0,0,5,9,0,0,0,0
2018-01-24,28.2833333333333,30.0266666666667,"2017-18","Kyrie Irving","Boston Celtics","PG",25,32.2,60,0,0,0,0,"",1,0,0,0,0,0,0,0,0,1300.5,1,0,0,"Mid",0,0,0,0,1,0,6,11,0,0.166666666666667,0,0.0909090909090909
2018-11-15,38.0166666666667,35.6366666666667,"2018-19","LaMarcus Aldridge","San Antonio Spurs","C",33,33.2,81,1,366,0,0,"",0,0,0,0,1,0,0,0,0,497.5,1,0,0,"Early",0,0,0,0,0,0,5,12,0,0,0,0
2019-03-27,0,21.3933333333333,"2018-19","LeBron James","Los Angeles Lakers","SF",34,35.2,55,0,0,0,0,"",0,0,1,0,0,0,0,0,1,0,1,0,0,"Late",0,0,1,0,0,2,3,10,0,0,0.666666666666667,0.2
2018-03-10,17.1833333333333,21.8633333333333,"2017-18","Marcin Gortat","Washington Wizards","C",33,25.3,82,1,663,0,0,"",0,0,0,0,1,0,0,0,0,809,0,0,0,"Late",0,0,0,0,0,0,7,15,0,0,0,0
2019-12-11,36.4666666666667,18.66,"2019-20","Marcus Morris","Los Angeles Clippers","PF",30,31.2,62,1,537,0,0,"",0,0,0,1,0,1,0,0,0,1490.5,0,0,0,"Mid",0,0,0,0,0,0,2,5,0,0,0,0
2019-12-22,25.0166666666667,24.9233333333333,"2019-20","Maurice Harkless","New York Knicks","PF",26,23,62,1,420,0,0,"",0,0,0,1,0,1,0,0,0,815,1,0,0,"Mid",0,0,0,0,0,0,4,11,0,0,0,0
2021-12-09,24.9666666666667,28.52,"2021-22","Mike Conley","Utah Jazz","PG",34,28.6,72,1,983,0,0,"",1,0,0,0,0,0,0,1,0,807,0,0,0,"Early",0,0,0,1,0,0,3,8,0.333333333333333,0.666666666666667,1,0.625
2021-01-29,27.5666666666667,30.59,"2020-21","Nicolas Batum","Los Angeles Clippers","SF",32,27.4,67,1,201,1,4,"left groin injury (DTD)",0,0,1,0,0,0,1,0,0,404,1,0,0,"Early",0,0,0,0,0,0,4,12,0,0,0,0
