"Player","Season","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency","Early_Quantile","Mid_Quantile","Late_Quantile","Total_Quantile","Injury_Frequency","Games_Missed_Frequency"
"Tyson Chandler","2017-18",0.25,1,0,0.555555555555556,"Q2","Q3","Q1","Q3",0.152173913043478,0.365853658536585
"Tyus Jones","2021-22",0,0.2,0,0.0833333333333333,"Q1","Q2","Q1","Q2",0.0410958904109589,0.0853658536585366
"Victor Oladipo","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.0125,0.024390243902439
"Victor Oladipo","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0.0138888888888889,0.0121951219512195
"Victor Oladipo","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0.0694444444444444,0.109756097560976
"Victor Oladipo","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.0149253731343284,0.109756097560976
"Victor Oladipo","2017-18",0.166666666666667,0,0,0.0769230769230769,"Q2","Q1","Q1","Q2",0.04,0.0731707317073171
"Victor Oladipo","2018-19",0,0,-Inf,0,"Q1","Q1",NA,"Q1",0.0555555555555556,0.548780487804878
"Victor Oladipo","2020-21",1,1,-Inf,1,"Q3","Q3",NA,"Q3",0.121212121212121,0.430555555555556
"Vince Carter","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0.0166666666666667,0.0487804878048781
"Vince Carter","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.0273972602739726,0.0975609756097561
"Walker Kessler","2022-23",0,0,0,0,"Q1","Q1","Q1","Q1",0.0405405405405405,0.0853658536585366
"Wayne Ellington","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0.0307692307692308,0.158536585365854
"Wayne Ellington","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0.0263157894736842,0.024390243902439
"Wayne Ellington","2018-19",0,-Inf,0,0,"Q1",NA,"Q1","Q1",0.0188679245283019,0.037037037037037
"Wayne Ellington","2020-21",0,0.25,1,0.285714285714286,"Q1","Q2","Q3","Q3",0.0869565217391304,0.180555555555556
