"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	13	583	2229.8 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	12	598	2006.7 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	9	618	1456.3 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	15	633	2369.7 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	21	645	3255.8
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	7	658	1063.8 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	12	676	1775.1 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	10	693	1443.0 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	8	708	1129.9 (Unreliable)
"Total"	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"			117	6388	1831.6
"Total"	"Alexander County, NC"	"37003"	"White"	"2106-3"					178	14487	1228.7
"Total"	"Alexander County, NC"	"37003"							183	15528	1178.5
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	0	11	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	0	11	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	0	11	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	0	11	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	0	10	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	0	10	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	0	9	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	0	9	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	0	9	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	0	8	0.0 (Unreliable)
"Total"	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Female"	"F"			0	99	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	0	7	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	0	8	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	0	8	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	0	8	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	0	8	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	0	8	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	0	8	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	0	8	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	1	8	12500.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	0	8	0.0 (Unreliable)
"Total"	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"	"Male"	"M"			1	79	1265.8 (Unreliable)
"Total"	"Alleghany County, NC"	"37005"	"Black or African American"	"2054-5"					1	178	561.8 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	2	439	455.6 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	4	443	902.9 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	5	461	1084.6 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	2	478	418.4 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	2	486	411.5 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	0	494	0.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	8	492	1626.0 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	6	503	1192.8 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	4	515	776.7 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	1	521	191.9 (Unreliable)
"Total"	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Female"	"F"			34	4832	703.6
